Format Version,1.1,Take Name,Take 2014-09-24 05.42.27 PM,Capture Frame Rate,120.000000,Export Frame Rate,119.999992,Capture Start Time,2014-09-24 17:42:27:84,Total Frames,961

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker-1,Marker-1,Marker-1,Marker-2,Marker-2,Marker-2,Marker-3,Marker-3,Marker-3,Marker-4,Marker-4,Marker-4,Marker-5,Marker-5,Marker-5,Marker-6,Marker-6,Marker-6,Marker-7,Marker-7,Marker-7,Marker-8,Marker-8,Marker-8,Marker-9,Marker-9,Marker-9,Marker-10,Marker-10,Marker-10,Marker-11,Marker-11,Marker-11,Marker-12,Marker-12,Marker-12,Marker-13,Marker-13,Marker-13,Marker-14,Marker-14,Marker-14,Marker-15,Marker-15,Marker-15,Marker-16,Marker-16,Marker-16,Marker-17,Marker-17,Marker-17,Marker-18,Marker-18,Marker-18,Marker-19,Marker-19,Marker-19,Marker-20,Marker-20,Marker-20
,,"8392B20CF49E35701","8392B20CF49E35701","8392B20CF49E35701","8392B20CF49E35702","8392B20CF49E35702","8392B20CF49E35702","8392B20CF49E35703","8392B20CF49E35703","8392B20CF49E35703","8392B20CF49E35704","8392B20CF49E35704","8392B20CF49E35704","8392B20CF49E35705","8392B20CF49E35705","8392B20CF49E35705","8392B20CF49E35706","8392B20CF49E35706","8392B20CF49E35706","8392B20CF49E35707","8392B20CF49E35707","8392B20CF49E35707","8392B20CF49E35708","8392B20CF49E35708","8392B20CF49E35708","8392B20CF49E35709","8392B20CF49E35709","8392B20CF49E35709","8392B20CF49E3570A","8392B20CF49E3570A","8392B20CF49E3570A","8392B20CF49E3570B","8392B20CF49E3570B","8392B20CF49E3570B","8392B20CF49E3570C","8392B20CF49E3570C","8392B20CF49E3570C","8392B20CF49E3570D","8392B20CF49E3570D","8392B20CF49E3570D","8392B20CF49E3570E","8392B20CF49E3570E","8392B20CF49E3570E","8392B20CF49E3570F","8392B20CF49E3570F","8392B20CF49E3570F","8392B20CF49E357010","8392B20CF49E357010","8392B20CF49E357010","8392B20CF49E357011","8392B20CF49E357011","8392B20CF49E357011","8392B20CF49E357012","8392B20CF49E357012","8392B20CF49E357012","8392B20CF49E357013","8392B20CF49E357013","8392B20CF49E357013","8392B20CF49E357014","8392B20CF49E357014","8392B20CF49E357014"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,3084.089539,0.099580,0.728221,-0.172096,0.110691,0.863232,0.070582,0.222540,0.817348,0.075421,-0.099385,0.842734,-0.072027,-0.113620,0.820727,-0.124096,0.245763,0.811445,-0.032251,0.035898,0.692728,0.246062,0.110551,0.861160,-0.028279,0.016031,0.780954,-0.165812,-0.037329,0.715133,0.219252,-0.147305,0.752738,0.185237,-0.221232,0.836504,0.064505,0.196129,0.781998,-0.096777,0.071752,0.836607,-0.094665,-0.062035,0.875255,0.049779,-0.079176,0.866705,-0.013205,-0.232328,0.844068,-0.013230,-0.252362,0.821160,-0.065643,,,,,,
1,3084.097872,0.099502,0.728420,-0.172276,0.110743,0.864475,0.069981,0.222626,0.817493,0.075175,-0.099472,0.842922,-0.072182,-0.113726,0.820889,-0.124243,0.245588,0.811650,-0.032136,0.037635,0.695356,0.247041,0.110241,0.861710,-0.028071,0.015952,0.781139,-0.165978,-0.039289,0.713435,0.218359,-0.147333,0.752938,0.185100,-0.221287,0.836692,0.064373,0.196068,0.782226,-0.096960,0.071657,0.836806,-0.094851,-0.062089,0.875453,0.049630,-0.079247,0.866888,-0.013351,-0.232567,0.843634,-0.013593,-0.253643,0.821346,-0.063927,,,,,,
2,3084.106205,0.099540,0.728415,-0.172756,0.110689,0.864685,0.069805,0.222417,0.817775,0.075044,-0.100201,0.842984,-0.072040,-0.113819,0.821088,-0.124400,0.245716,0.811960,-0.032647,0.037555,0.695557,0.246869,0.110645,0.862388,-0.028239,0.015872,0.781333,-0.166136,-0.039362,0.713608,0.218200,-0.147389,0.753138,0.184970,-0.221367,0.836887,0.064236,0.195996,0.782455,-0.097132,0.071576,0.837029,-0.095019,-0.061334,0.874839,0.048895,-0.079324,0.867088,-0.013504,-0.232641,0.843799,-0.013820,-0.253294,0.821183,-0.065016,,,,,,
3,3084.114539,0.099435,0.728638,-0.172894,0.110620,0.864899,0.069659,0.222321,0.817909,0.074887,-0.099222,0.843595,-0.073147,-0.113897,0.821314,-0.124559,0.245461,0.811631,-0.032928,0.037488,0.695735,0.246721,0.110059,0.862141,-0.028397,0.015790,0.781560,-0.166300,-0.039365,0.713864,0.218060,-0.147468,0.753329,0.184824,-0.221446,0.837078,0.064121,0.195901,0.782703,-0.097351,0.071493,0.837226,-0.095182,-0.061475,0.875022,0.048732,-0.079411,0.867286,-0.013658,-0.232475,0.844131,-0.014103,-0.253380,0.821375,-0.065157,,,,,,
4,3084.122872,0.098786,0.728562,-0.172479,0.110480,0.865451,0.069475,0.221766,0.816676,0.074110,-0.099312,0.843807,-0.073273,-0.113973,0.821550,-0.124674,0.245211,0.811714,-0.033099,0.037521,0.696073,0.246672,0.109993,0.862332,-0.028490,0.015705,0.781767,-0.166441,-0.037530,0.715939,0.218690,-0.147537,0.753509,0.184716,-0.221531,0.837278,0.064004,0.195807,0.782920,-0.097478,0.071403,0.837425,-0.095312,-0.062435,0.875395,0.048440,-0.079490,0.867502,-0.013756,-0.232551,0.844340,-0.014235,-0.253485,0.821676,-0.065754,0.200077,0.817181,0.156514,,,
5,3084.131206,0.099281,0.729111,-0.173157,0.110446,0.865319,0.069437,0.221690,0.816914,0.073998,-0.100167,0.843695,-0.072587,-0.114054,0.821790,-0.124794,0.245282,0.812068,-0.033074,0.037433,0.696256,0.246555,0.109904,0.862565,-0.028611,0.015573,0.781389,-0.166236,-0.037623,0.716150,0.218595,-0.147627,0.753729,0.184594,-0.221604,0.837505,0.063888,0.195721,0.783143,-0.097553,0.071301,0.837674,-0.095438,-0.062434,0.876305,0.049127,-0.079591,0.867737,-0.013871,-0.232661,0.844560,-0.014343,-0.253577,0.821915,-0.065853,0.199812,0.817485,0.156835,,,
6,3084.139539,0.099207,0.729393,-0.173289,0.110351,0.865584,0.069333,0.221593,0.817182,0.073872,-0.100522,0.843834,-0.072543,-0.114148,0.822028,-0.124883,0.245019,0.812168,-0.033279,0.037326,0.696466,0.246433,0.109838,0.862821,-0.028732,0.015530,0.782317,-0.166638,-0.039531,0.714576,0.217755,-0.147689,0.753978,0.184480,-0.221695,0.837745,0.063780,0.195643,0.783407,-0.097657,0.071242,0.837921,-0.095567,-0.062524,0.876559,0.049017,-0.079667,0.867988,-0.013988,-0.232976,0.844694,-0.014263,-0.254057,0.822426,-0.064521,0.199712,0.817726,0.156883,,,
7,3084.147872,0.099144,0.729731,-0.173423,0.110273,0.865913,0.069191,0.221490,0.817564,0.073764,-0.100612,0.844124,-0.072635,-0.114240,0.822326,-0.125005,0.244921,0.812403,-0.033601,0.037266,0.696747,0.246305,0.110688,0.863395,-0.028655,0.015453,0.782618,-0.166761,-0.039641,0.714814,0.217596,-0.147763,0.754269,0.184348,-0.221772,0.838031,0.063692,0.195168,0.783326,-0.097547,0.071990,0.838115,-0.096390,-0.062618,0.876841,0.048902,-0.079746,0.868292,-0.014079,-0.232828,0.845073,-0.014547,-0.254129,0.822682,-0.064630,0.199616,0.818024,0.156918,,,
8,3084.156206,0.099198,0.730262,-0.173840,0.110200,0.866249,0.069107,0.221432,0.817978,0.073625,-0.100683,0.844460,-0.072759,-0.114330,0.822655,-0.125122,0.244898,0.812898,-0.033520,0.037243,0.697140,0.246201,0.109631,0.863511,-0.028979,0.015379,0.782943,-0.166898,-0.039708,0.715146,0.217443,-0.147835,0.754550,0.184230,-0.221840,0.838315,0.063596,0.195493,0.784144,-0.097930,0.071085,0.838652,-0.095779,-0.062707,0.877153,0.048767,-0.079819,0.868624,-0.014200,-0.232902,0.845368,-0.014661,-0.253783,0.822650,-0.065735,0.199541,0.818424,0.156719,,,
9,3084.164539,0.098332,0.730288,-0.173050,0.110076,0.866652,0.068970,0.221368,0.818360,0.073502,-0.099947,0.845116,-0.073169,-0.114426,0.823018,-0.125201,0.244815,0.813366,-0.033659,0.035428,0.695104,0.244916,0.109540,0.863900,-0.029104,0.015250,0.782689,-0.166734,-0.037837,0.717412,0.218123,-0.147906,0.754888,0.184109,-0.221952,0.838637,0.063424,0.195428,0.784539,-0.098060,0.070976,0.839031,-0.095912,-0.062830,0.877521,0.048610,-0.079938,0.868983,-0.014302,-0.232996,0.845685,-0.014766,-0.253863,0.822957,-0.065883,0.199762,0.818913,0.155579,,,
10,3084.172872,0.098919,0.730899,-0.173822,0.109982,0.867068,0.068804,0.221263,0.818853,0.073366,-0.100049,0.845477,-0.073280,-0.114498,0.823350,-0.125377,0.244731,0.813797,-0.033890,0.035328,0.695455,0.244749,0.109783,0.863974,-0.029160,0.015211,0.783739,-0.167187,-0.037897,0.717771,0.218002,-0.147964,0.755251,0.183989,-0.222044,0.838959,0.063311,0.195331,0.785011,-0.098229,0.070879,0.839406,-0.096067,-0.062942,0.877898,0.048511,-0.080021,0.869350,-0.014423,-0.233347,0.845924,-0.014741,-0.253973,0.823270,-0.065973,0.199631,0.819267,0.156177,,,
11,3084.181206,0.098814,0.731346,-0.173933,0.109766,0.866548,0.069071,0.221171,0.819336,0.073183,-0.100159,0.845876,-0.073393,-0.114612,0.823750,-0.125524,0.244630,0.814291,-0.033900,0.035216,0.695823,0.244558,0.109329,0.864770,-0.029391,0.015111,0.784146,-0.167317,-0.037963,0.718184,0.217839,-0.148021,0.755648,0.183858,-0.222118,0.839333,0.063215,0.195239,0.785466,-0.098363,0.071613,0.839677,-0.096985,-0.063042,0.878281,0.048354,-0.080115,0.869756,-0.014569,-0.233220,0.846413,-0.015037,-0.254044,0.823631,-0.066101,0.251321,0.799604,0.078930,,,
12,3084.189539,0.098179,0.731487,-0.173522,0.109789,0.867968,0.068484,0.221108,0.819801,0.073051,-0.100441,0.846161,-0.073462,-0.114690,0.824120,-0.125651,0.244497,0.814747,-0.034168,0.035323,0.696447,0.244542,0.109238,0.865220,-0.029529,0.015026,0.784559,-0.167468,-0.038071,0.718581,0.217677,-0.148090,0.756040,0.183734,-0.222245,0.839710,0.063001,0.195168,0.785909,-0.098533,0.071512,0.840098,-0.097130,-0.063124,0.878697,0.048163,-0.080232,0.870172,-0.014714,-0.233292,0.846740,-0.015190,-0.254145,0.823966,-0.066287,0.199327,0.820401,0.155737,,,
13,3084.197872,0.098123,0.731895,-0.173640,0.109988,0.868325,0.068359,0.221028,0.820233,0.072880,-0.100967,0.845730,-0.072476,-0.114779,0.824501,-0.125772,0.244447,0.815210,-0.034281,0.036963,0.699131,0.245465,0.109160,0.865682,-0.029669,0.014955,0.784983,-0.167579,-0.039962,0.717155,0.216789,-0.148140,0.756430,0.183596,-0.222333,0.840075,0.062889,0.195068,0.786346,-0.098683,0.071431,0.840493,-0.097264,-0.063248,0.879114,0.048060,-0.080280,0.870575,-0.014822,-0.233415,0.847112,-0.015232,-0.254234,0.824343,-0.066382,0.199129,0.820923,0.156006,,,
14,3084.206206,0.098777,0.732839,-0.174684,0.109517,0.867906,0.068636,0.220992,0.820743,0.072704,-0.101143,0.846796,-0.073604,-0.114865,0.824915,-0.125926,0.244396,0.815701,-0.034485,0.037014,0.699663,0.245364,0.109070,0.866125,-0.029832,0.014895,0.785406,-0.167720,-0.040024,0.717558,0.216608,-0.148173,0.756834,0.183454,-0.222408,0.840463,0.062769,0.195035,0.786815,-0.098892,0.070537,0.841179,-0.096639,-0.063308,0.879532,0.047911,-0.080378,0.871003,-0.014998,-0.233472,0.847517,-0.015384,-0.254321,0.824709,-0.066474,0.198927,0.821395,0.156294,,,
15,3084.214539,0.098585,0.733110,-0.174533,0.109568,0.869355,0.068019,0.220982,0.820953,0.072411,-0.101149,0.847252,-0.073798,-0.114940,0.825319,-0.126034,0.244316,0.816185,-0.034654,0.036955,0.700015,0.245194,0.108994,0.866568,-0.030014,0.014820,0.785839,-0.167870,-0.039694,0.717691,0.216581,-0.148191,0.757237,0.183345,-0.222455,0.840871,0.062640,0.194957,0.787314,-0.099048,0.070463,0.841595,-0.096802,-0.063383,0.879936,0.047732,-0.080469,0.871416,-0.015112,-0.233519,0.847906,-0.015541,-0.254423,0.825172,-0.067055,0.199008,0.821906,0.155808,,,
