Format Version,1.1,Take Name,Take 2014-10-13 02.41.46 PM,Capture Frame Rate,120.000000,Export Frame Rate,119.999992,Capture Start Time,2014-10-13 14:41:46:50,Total Frames,1285

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Marker 1,Marker 1,Marker 1,Marker 1,Marker 2,Marker 2,Marker 2,Marker 2,Marker 3,Marker 3,Marker 3,Marker 3,Marker 4,Marker 4,Marker 4,Marker 4,Rigid Body 1-Marker 4,Rigid Body 1-Marker 4,Rigid Body 1-Marker 4,Rigid Body 1-Marker 3,Rigid Body 1-Marker 3,Rigid Body 1-Marker 3,Rigid Body 1-Marker 2,Rigid Body 1-Marker 2,Rigid Body 1-Marker 2,Rigid Body 1-Marker 1,Rigid Body 1-Marker 1,Rigid Body 1-Marker 1,example_layout-7,example_layout-7,example_layout-7,example_layout-9,example_layout-9,example_layout-9,example_layout-4,example_layout-4,example_layout-4,example_layout-5,example_layout-5,example_layout-5,example_layout-10,example_layout-10,example_layout-10,example_layout-11,example_layout-11,example_layout-11,example_layout-12,example_layout-12,example_layout-12,example_layout-14,example_layout-14,example_layout-14,example_layout-3,example_layout-3,example_layout-3,example_layout-2,example_layout-2,example_layout-2,example_layout-1,example_layout-1,example_layout-1,example_layout-6,example_layout-6,example_layout-6,example_layout-8,example_layout-8,example_layout-8,example_layout-13,example_layout-13,example_layout-13
,,"6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","6C90E213548611E49781D97BEEBC9582","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E357175587B0500000006","8392B20CF49E357175587B0500000006","8392B20CF49E357175587B0500000006","8392B20CF49E357175587B0500000008","8392B20CF49E357175587B0500000008","8392B20CF49E357175587B0500000008","8392B20CF49E357175587B0500000003","8392B20CF49E357175587B0500000003","8392B20CF49E357175587B0500000003","8392B20CF49E357175587B0500000004","8392B20CF49E357175587B0500000004","8392B20CF49E357175587B0500000004","8392B20CF49E357175587B0500000009","8392B20CF49E357175587B0500000009","8392B20CF49E357175587B0500000009","8392B20CF49E357175587B050000000A","8392B20CF49E357175587B050000000A","8392B20CF49E357175587B050000000A","8392B20CF49E357175587B050000000B","8392B20CF49E357175587B050000000B","8392B20CF49E357175587B050000000B","8392B20CF49E357175587B050000000D","8392B20CF49E357175587B050000000D","8392B20CF49E357175587B050000000D","8392B20CF49E357175587B0500000002","8392B20CF49E357175587B0500000002","8392B20CF49E357175587B0500000002","8392B20CF49E357175587B0500000001","8392B20CF49E357175587B0500000001","8392B20CF49E357175587B0500000001","8392B20CF49E357175587B0500000000","8392B20CF49E357175587B0500000000","8392B20CF49E357175587B0500000000","8392B20CF49E357175587B0500000005","8392B20CF49E357175587B0500000005","8392B20CF49E357175587B0500000005","8392B20CF49E357175587B0500000007","8392B20CF49E357175587B0500000007","8392B20CF49E357175587B0500000007","8392B20CF49E357175587B050000000C","8392B20CF49E357175587B050000000C","8392B20CF49E357175587B050000000C"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,5968.482800,0.089766,0.008103,0.995930,0.000002,0.154237,0.360552,0.495131,0.000867,0.070511,0.361347,-0.591779,0.000000,0.052926,0.356408,-0.414700,0.000000,0.239097,0.363255,-0.397685,0.000000,0.254414,0.361198,-0.576362,0.000000,0.253901,0.361195,-0.575253,0.239533,0.363250,-0.397827,0.053330,0.356400,-0.414487,0.070205,0.361362,-0.592966,-0.229033,0.117975,-0.294082,-0.308980,0.142500,-0.212002,-0.319435,0.233012,-0.228723,-0.401339,0.255145,-0.241950,-0.418693,0.170906,-0.222361,-0.474464,0.255504,-0.254672,-0.551426,0.244367,-0.277342,-0.557961,0.178628,-0.257763,-0.253122,0.209470,-0.266672,-0.237852,0.194713,-0.301152,-0.235625,0.179600,-0.366240,-0.236585,0.118634,-0.377843,-0.250384,0.128207,-0.243092,-0.494135,0.177794,-0.234742
1,5968.491134,0.089766,0.008103,0.995930,0.000002,0.154237,0.360552,0.495131,0.000867,0.070511,0.361347,-0.591779,0.000000,0.052926,0.356408,-0.414700,0.000000,0.239097,0.363255,-0.397685,0.000000,0.254414,0.361198,-0.576362,0.000000,0.253906,0.361195,-0.575256,0.239540,0.363261,-0.397820,0.053321,0.356394,-0.414499,0.070200,0.361346,-0.592954,-0.229050,0.117940,-0.294092,-0.308984,0.142481,-0.211988,-0.319434,0.232985,-0.228686,-0.401351,0.255123,-0.241932,-0.418697,0.170881,-0.222343,-0.474465,0.255483,-0.254657,-0.551408,0.244370,-0.277303,-0.557929,0.178652,-0.257719,-0.253120,0.209454,-0.266646,-0.237872,0.194696,-0.301139,-0.235647,0.179570,-0.366229,-0.236587,0.118622,-0.377841,-0.250873,0.127879,-0.243009,-0.494270,0.177638,-0.234864
2,5968.499467,0.089767,0.008073,0.995930,-0.000040,0.154234,0.360549,0.495132,0.000866,0.070508,0.361332,-0.591780,0.009185,0.052923,0.356402,-0.414701,0.008957,0.239093,0.363265,-0.397686,0.000000,0.254411,0.361247,-0.576374,0.004167,0.253908,0.361195,-0.575260,0.239542,0.363262,-0.397826,0.053324,0.356389,-0.414510,0.070206,0.361342,-0.592952,-0.229040,0.117931,-0.294072,-0.308746,0.142113,-0.212303,-0.319422,0.232970,-0.228676,-0.401482,0.255878,-0.241542,-0.418684,0.170865,-0.222326,-0.474463,0.255480,-0.254633,-0.551386,0.244382,-0.277267,-0.557942,0.178623,-0.257732,-0.253114,0.209432,-0.266640,-0.237866,0.194684,-0.301129,-0.235657,0.179540,-0.366226,-0.236598,0.118598,-0.377843,-0.250867,0.127863,-0.243002,-0.494416,0.177492,-0.234995
3,5968.507800,0.089787,0.008208,0.995927,-0.000093,0.154231,0.360564,0.495148,0.000862,0.070509,0.361361,-0.591799,0.016789,0.052918,0.356383,-0.414721,0.009512,0.239071,0.363266,-0.397706,0.000000,0.254403,0.361344,-0.576382,0.002704,0.253909,0.361195,-0.575261,0.239538,0.363268,-0.397823,0.053312,0.356385,-0.414528,0.070192,0.361335,-0.592939,-0.229043,0.117931,-0.294054,-0.308774,0.142104,-0.212295,-0.319422,0.232964,-0.228669,-0.401370,0.255102,-0.241918,-0.418696,0.170863,-0.222318,-0.474464,0.255468,-0.254629,-0.551393,0.244377,-0.277258,-0.557948,0.178632,-0.257706,-0.253128,0.209419,-0.266633,-0.237872,0.194685,-0.301121,-0.235668,0.179532,-0.366228,-0.236613,0.118595,-0.377830,-0.250896,0.127831,-0.243008,-0.494373,0.177543,-0.234934
4,5968.516134,0.089804,0.008478,0.995923,-0.000148,0.154220,0.360602,0.495161,0.000860,0.070502,0.361437,-0.591814,0.025329,0.052905,0.356363,-0.414740,0.019157,0.239071,0.363266,-0.397706,0.000000,0.254403,0.361344,-0.576382,0.002704,0.253900,0.361194,-0.575257,0.239537,0.363258,-0.397825,0.053329,0.356399,-0.414498,0.070214,0.361367,-0.592980,-0.229058,0.117927,-0.294053,-0.308998,0.142452,-0.211968,-0.319446,0.232959,-0.228685,-0.401342,0.255118,-0.241907,-0.418713,0.170866,-0.222320,-0.474467,0.255486,-0.254625,-0.551432,0.244356,-0.277292,-0.557947,0.178640,-0.257704,-0.253139,0.209418,-0.266641,-0.237896,0.194675,-0.301130,-0.235682,0.179534,-0.366224,-0.236627,0.118591,-0.377813,-0.250909,0.127845,-0.242991,-0.494358,0.177567,-0.234904
5,5968.524467,0.089797,0.008175,0.995927,-0.000123,0.154236,0.360563,0.495130,0.000871,0.070516,0.361348,-0.591783,0.000000,0.052921,0.356382,-0.414705,0.002540,0.239089,0.363276,-0.397678,0.004251,0.254418,0.361245,-0.576354,0.005825,0.253899,0.361201,-0.575260,0.239531,0.363254,-0.397828,0.053321,0.356406,-0.414486,0.070193,0.361357,-0.592953,-0.229096,0.117937,-0.294085,-0.308800,0.142145,-0.212301,-0.319287,0.233177,-0.228601,-0.401359,0.255137,-0.241924,-0.418729,0.170880,-0.222335,-0.474494,0.255497,-0.254650,-0.551450,0.244369,-0.277307,-0.557984,0.178610,-0.257730,-0.253154,0.209435,-0.266661,-0.237920,0.194684,-0.301153,-0.235702,0.179545,-0.366246,-0.236650,0.118598,-0.377825,-0.251354,0.127802,-0.243470,-0.494359,0.177603,-0.234906
