Format Version,1.1,Take Name,Take 2014-10-28 12.39.08 AM,Capture Frame Rate,120.000000,Export Frame Rate,119.999992,Capture Start Time,2014-10-28 12:39:08:68,Total Frames,1119

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Marker 1,Marker 1,Marker 1,Marker 1,Marker 2,Marker 2,Marker 2,Marker 2,Marker 3,Marker 3,Marker 3,Marker 3,Marker 4,Marker 4,Marker 4,Marker 4,Rigid Body 1-Marker 1,Rigid Body 1-Marker 1,Rigid Body 1-Marker 1,Rigid Body 1-Marker 2,Rigid Body 1-Marker 2,Rigid Body 1-Marker 2,Rigid Body 1-Marker 3,Rigid Body 1-Marker 3,Rigid Body 1-Marker 3,Rigid Body 1-Marker 4,Rigid Body 1-Marker 4,Rigid Body 1-Marker 4,LeftHand-24,LeftHand-24,LeftHand-24,LeftHand-26,LeftHand-26,LeftHand-26,LeftHand-1,LeftHand-1,LeftHand-1,LeftHand-2,LeftHand-2,LeftHand-2,LeftHand-28,LeftHand-28,LeftHand-28,LeftHand-3,LeftHand-3,LeftHand-3,LeftHand-4,LeftHand-4,LeftHand-4,LeftHand-30,LeftHand-30,LeftHand-30,LeftHand-7,LeftHand-7,LeftHand-7,LeftHand-12,LeftHand-12,LeftHand-12,LeftHand-10,LeftHand-10,LeftHand-10,LeftHand-17,LeftHand-17,LeftHand-17,LeftHand-27,LeftHand-27,LeftHand-27,LeftHand-14,LeftHand-14,LeftHand-14,LeftHand-18,LeftHand-18,LeftHand-18,LeftHand-20,LeftHand-20,LeftHand-20,LeftHand-23,LeftHand-23,LeftHand-23,LeftHand-21,LeftHand-21,LeftHand-21,LeftHand-22,LeftHand-22,LeftHand-22,LeftHand-25,LeftHand-25,LeftHand-25,LeftHand-16,LeftHand-16,LeftHand-16,LeftHand-19,LeftHand-19,LeftHand-19,LeftHand-29,LeftHand-29,LeftHand-29,LeftHand-13,LeftHand-13,LeftHand-13,LeftHand-8,LeftHand-8,LeftHand-8,LeftHand-9,LeftHand-9,LeftHand-9,LeftHand-5,LeftHand-5,LeftHand-5,LeftHand-11,LeftHand-11,LeftHand-11,LeftHand-15,LeftHand-15,LeftHand-15,LeftHand-6,LeftHand-6,LeftHand-6
,,"9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","9D2C7A2C606A11E49781D97BEEBC9782","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E3573100000004","8392B20CF49E35715BF624B200000017","8392B20CF49E35715BF624B200000017","8392B20CF49E35715BF624B200000017","8392B20CF49E35715BF624B200000019","8392B20CF49E35715BF624B200000019","8392B20CF49E35715BF624B200000019","8392B20CF49E35715BF624B200000000","8392B20CF49E35715BF624B200000000","8392B20CF49E35715BF624B200000000","8392B20CF49E35715BF624B200000001","8392B20CF49E35715BF624B200000001","8392B20CF49E35715BF624B200000001","8392B20CF49E35715BF624B20000001B","8392B20CF49E35715BF624B20000001B","8392B20CF49E35715BF624B20000001B","8392B20CF49E35715BF624B200000002","8392B20CF49E35715BF624B200000002","8392B20CF49E35715BF624B200000002","8392B20CF49E35715BF624B200000003","8392B20CF49E35715BF624B200000003","8392B20CF49E35715BF624B200000003","8392B20CF49E35715BF624B20000001D","8392B20CF49E35715BF624B20000001D","8392B20CF49E35715BF624B20000001D","8392B20CF49E35715BF624B200000006","8392B20CF49E35715BF624B200000006","8392B20CF49E35715BF624B200000006","8392B20CF49E35715BF624B20000000B","8392B20CF49E35715BF624B20000000B","8392B20CF49E35715BF624B20000000B","8392B20CF49E35715BF624B200000009","8392B20CF49E35715BF624B200000009","8392B20CF49E35715BF624B200000009","8392B20CF49E35715BF624B200000010","8392B20CF49E35715BF624B200000010","8392B20CF49E35715BF624B200000010","8392B20CF49E35715BF624B20000001A","8392B20CF49E35715BF624B20000001A","8392B20CF49E35715BF624B20000001A","8392B20CF49E35715BF624B20000000D","8392B20CF49E35715BF624B20000000D","8392B20CF49E35715BF624B20000000D","8392B20CF49E35715BF624B200000011","8392B20CF49E35715BF624B200000011","8392B20CF49E35715BF624B200000011","8392B20CF49E35715BF624B200000013","8392B20CF49E35715BF624B200000013","8392B20CF49E35715BF624B200000013","8392B20CF49E35715BF624B200000016","8392B20CF49E35715BF624B200000016","8392B20CF49E35715BF624B200000016","8392B20CF49E35715BF624B200000014","8392B20CF49E35715BF624B200000014","8392B20CF49E35715BF624B200000014","8392B20CF49E35715BF624B200000015","8392B20CF49E35715BF624B200000015","8392B20CF49E35715BF624B200000015","8392B20CF49E35715BF624B200000018","8392B20CF49E35715BF624B200000018","8392B20CF49E35715BF624B200000018","8392B20CF49E35715BF624B20000000F","8392B20CF49E35715BF624B20000000F","8392B20CF49E35715BF624B20000000F","8392B20CF49E35715BF624B200000012","8392B20CF49E35715BF624B200000012","8392B20CF49E35715BF624B200000012","8392B20CF49E35715BF624B20000001C","8392B20CF49E35715BF624B20000001C","8392B20CF49E35715BF624B20000001C","8392B20CF49E35715BF624B20000000C","8392B20CF49E35715BF624B20000000C","8392B20CF49E35715BF624B20000000C","8392B20CF49E35715BF624B200000007","8392B20CF49E35715BF624B200000007","8392B20CF49E35715BF624B200000007","8392B20CF49E35715BF624B200000008","8392B20CF49E35715BF624B200000008","8392B20CF49E35715BF624B200000008","8392B20CF49E35715BF624B200000004","8392B20CF49E35715BF624B200000004","8392B20CF49E35715BF624B200000004","8392B20CF49E35715BF624B20000000A","8392B20CF49E35715BF624B20000000A","8392B20CF49E35715BF624B20000000A","8392B20CF49E35715BF624B20000000E","8392B20CF49E35715BF624B20000000E","8392B20CF49E35715BF624B20000000E","8392B20CF49E35715BF624B200000005","8392B20CF49E35715BF624B200000005","8392B20CF49E35715BF624B200000005"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,66.494321,-0.006190,-0.036292,0.002390,-0.999319,0.191896,0.359845,0.347134,0.000352,0.289313,0.362101,-0.239827,0.295786,0.083468,0.355558,-0.248235,0.341774,0.098194,0.361354,-0.457549,0.000000,0.296611,0.360367,-0.442924,0.331276,0.273211,0.361561,-0.333162,0.067328,0.354045,-0.326704,0.066801,0.362471,-0.536446,0.265759,0.362343,-0.536260,-0.187020,0.069524,-0.891572,-0.376148,0.141724,-0.743776,-0.196191,0.030511,-0.430957,-0.263327,0.047713,-0.491429,-0.397969,0.140845,-0.683172,-0.311993,0.057966,-0.523974,-0.361394,0.076044,-0.560588,-0.497301,0.168047,-0.727714,-0.002154,0.069356,-0.703060,0.009315,0.066046,-0.783430,-0.159172,0.143634,-0.709970,-0.028283,0.058300,-0.831674,-0.283806,0.146994,-0.750671,-0.093570,0.115824,-0.786283,-0.073059,0.083421,-0.837117,-0.194028,0.102267,-0.829696,-0.131662,0.054704,-0.897455,-0.032675,0.019323,-0.894955,-0.101502,0.043500,-0.895248,-0.250433,0.069032,-0.882859,0.053391,0.019392,-0.824813,-0.130651,0.099629,-0.835530,-0.380488,0.110469,-0.807277,-0.030465,0.091343,-0.785791,-0.028726,0.097101,-0.706914,-0.092101,0.128713,-0.714312,-0.413872,0.095333,-0.605754,0.083191,0.020838,-0.779461,-0.171050,0.130819,-0.784535,0.048943,0.015891,-0.693779
1,66.502654,0.000000,0.000000,0.000000,-1.000000,0.168275,0.360105,0.433143,0.000000,0.273211,0.361561,-0.333162,1.000000,0.067328,0.354045,-0.326704,1.000000,0.066801,0.362471,-0.536446,1.000000,0.265759,0.362343,-0.536260,1.000000,0.273209,0.361560,-0.333157,0.067321,0.354036,-0.326709,0.066796,0.362466,-0.536442,0.265755,0.362338,-0.536257,-0.187017,0.069525,-0.891574,-0.376143,0.141725,-0.743790,-0.196187,0.030504,-0.430959,-0.263328,0.047714,-0.491433,-0.397970,0.140841,-0.683169,-0.311997,0.057974,-0.523967,-0.361744,0.076246,-0.560353,-0.497299,0.168050,-0.727708,-0.002165,0.069353,-0.703052,0.009314,0.066041,-0.783424,-0.159175,0.143631,-0.709968,-0.028284,0.058288,-0.831670,-0.283804,0.147014,-0.750672,-0.093573,0.115813,-0.786272,-0.073057,0.083419,-0.837118,-0.194032,0.102259,-0.829688,-0.131660,0.054697,-0.897450,-0.032683,0.019318,-0.894950,-0.101502,0.043504,-0.895251,-0.250429,0.069026,-0.882851,0.053383,0.019388,-0.824810,-0.130636,0.099655,-0.835539,-0.380496,0.110455,-0.807268,-0.030468,0.091342,-0.785790,-0.028725,0.097104,-0.706922,-0.092100,0.128708,-0.714307,-0.413871,0.095334,-0.605749,0.083192,0.020831,-0.779454,-0.174373,0.127403,-0.780641,0.047792,0.016316,-0.691440
2,66.510988,0.000004,-0.000007,-0.000014,-1.000000,0.168270,0.360101,0.433142,0.000004,0.273205,0.361558,-0.333159,0.989137,0.067322,0.354037,-0.326704,0.982595,0.066798,0.362465,-0.536446,0.987975,0.265763,0.362341,-0.536258,0.988675,0.273214,0.361559,-0.333158,0.067328,0.354037,-0.326714,0.066801,0.362467,-0.536446,0.265763,0.362337,-0.536256,-0.187020,0.069521,-0.891559,-0.376144,0.141731,-0.743783,-0.196183,0.030510,-0.430950,-0.263334,0.047721,-0.491426,-0.397976,0.140843,-0.683164,-0.311997,0.057990,-0.523968,-0.361755,0.076248,-0.560352,-0.497302,0.168060,-0.727722,-0.002160,0.069356,-0.703057,0.009321,0.066048,-0.783430,-0.159166,0.143634,-0.709967,-0.028278,0.058301,-0.831674,-0.283810,0.147014,-0.750676,-0.093571,0.115820,-0.786276,-0.073067,0.083413,-0.837104,-0.194037,0.102259,-0.829685,-0.131673,0.054696,-0.897434,-0.032677,0.019324,-0.894948,-0.101509,0.043499,-0.895241,-0.250426,0.069035,-0.882849,0.053393,0.019390,-0.824811,-0.130630,0.099661,-0.835539,-0.380496,0.110464,-0.807266,-0.030466,0.091348,-0.785791,-0.028728,0.097103,-0.706917,-0.092113,0.128694,-0.714294,-0.413880,0.095327,-0.605746,0.083194,0.020842,-0.779461,-0.173521,0.128129,-0.777480,0.047767,0.016299,-0.691414
3,66.519321,0.000004,-0.000012,-0.000010,-1.000000,0.168276,0.360100,0.433144,0.000005,0.273210,0.361558,-0.333160,0.991074,0.067327,0.354038,-0.326707,0.979645,0.066805,0.362466,-0.536450,0.981478,0.265763,0.362341,-0.536258,0.988675,0.273216,0.361563,-0.333155,0.067333,0.354041,-0.326704,0.066801,0.362466,-0.536443,0.265753,0.362337,-0.536261,-0.187047,0.069534,-0.891558,-0.376149,0.141732,-0.743774,-0.196195,0.030508,-0.430946,-0.263350,0.047709,-0.491427,-0.397987,0.140843,-0.683165,-0.312004,0.057985,-0.523966,-0.361754,0.076256,-0.560340,-0.497299,0.168068,-0.727722,-0.002163,0.069355,-0.703055,0.009305,0.066037,-0.783415,-0.159179,0.143620,-0.709848,-0.028292,0.058288,-0.831664,-0.283812,0.147004,-0.750674,-0.093579,0.115816,-0.786271,-0.073066,0.083420,-0.837113,-0.194031,0.102264,-0.829681,-0.131674,0.054692,-0.897433,-0.032685,0.019332,-0.894944,-0.101506,0.043509,-0.895242,-0.250433,0.069034,-0.882845,0.053386,0.019399,-0.824810,-0.130632,0.099659,-0.835537,-0.380500,0.110470,-0.807268,-0.030472,0.091345,-0.785787,-0.028739,0.097097,-0.706917,-0.092114,0.128695,-0.714301,-0.413882,0.095338,-0.605739,0.083190,0.020839,-0.779454,-0.173500,0.128146,-0.777426,0.047770,0.016302,-0.691410
4,66.527654,-0.000014,0.000008,-0.000011,-1.000000,0.168276,0.360101,0.433141,0.000005,0.273214,0.361562,-0.333161,0.984413,0.067331,0.354042,-0.326700,0.989882,0.066801,0.362463,-0.536442,0.983802,0.265759,0.362339,-0.536259,0.977380,0.273216,0.361559,-0.333155,0.067322,0.354038,-0.326713,0.066801,0.362469,-0.536442,0.265758,0.362338,-0.536255,-0.187013,0.069529,-0.891558,-0.376156,0.141733,-0.743785,-0.196209,0.030511,-0.430950,-0.263350,0.047719,-0.491424,-0.397983,0.140854,-0.683174,-0.312003,0.057991,-0.523966,-0.361416,0.076051,-0.560567,-0.497294,0.168081,-0.727731,-0.002162,0.069354,-0.703058,0.009307,0.066039,-0.783417,-0.159188,0.143623,-0.709966,-0.028291,0.058293,-0.831667,-0.283820,0.147019,-0.750671,-0.093579,0.115819,-0.786275,-0.073655,0.083492,-0.837175,-0.194035,0.102253,-0.829678,-0.131676,0.054690,-0.897427,-0.032685,0.019328,-0.894943,-0.101504,0.043506,-0.895239,-0.250435,0.069030,-0.882840,0.053380,0.019392,-0.824807,-0.130638,0.099655,-0.835539,-0.380515,0.110450,-0.807252,-0.030475,0.091341,-0.785793,-0.028737,0.097092,-0.706916,-0.092111,0.128697,-0.714304,-0.413887,0.095341,-0.605738,0.083189,0.020846,-0.779452,-0.173512,0.128146,-0.777418,0.047766,0.016316,-0.691406
5,66.535988,0.000005,-0.000014,0.000001,-1.000000,0.168275,0.360101,0.433141,0.000006,0.273208,0.361556,-0.333157,0.981686,0.067325,0.354040,-0.326705,0.971747,0.066804,0.362469,-0.536447,0.981597,0.265755,0.362338,-0.536256,0.994785,0.273208,0.361555,-0.333157,0.067321,0.354040,-0.326707,0.066795,0.362467,-0.536442,0.265754,0.362338,-0.536256,-0.187019,0.069523,-0.891561,-0.376161,0.141730,-0.743795,-0.196220,0.030496,-0.430956,-0.263354,0.047716,-0.491430,-0.397996,0.140863,-0.683169,-0.312012,0.057995,-0.523965,-0.361760,0.076255,-0.560346,-0.497313,0.168068,-0.727735,-0.002188,0.069347,-0.703048,0.009303,0.066036,-0.783419,-0.159188,0.143627,-0.709970,-0.028293,0.058296,-0.831667,-0.283817,0.147013,-0.750674,-0.093590,0.115808,-0.786269,-0.073081,0.083411,-0.837112,-0.194048,0.102247,-0.829677,-0.131676,0.054689,-0.897433,-0.032693,0.019324,-0.894935,-0.101513,0.043497,-0.895229,-0.250445,0.069021,-0.882834,0.053374,0.019391,-0.824804,-0.130645,0.099650,-0.835539,-0.380513,0.110463,-0.807262,-0.030483,0.091328,-0.785784,-0.028743,0.097098,-0.706915,-0.092121,0.128692,-0.714299,-0.413824,0.094940,-0.605343,0.083188,0.020841,-0.779449,-0.173513,0.128138,-0.777418,0.047762,0.016302,-0.691406
